gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
5003323646				https://sfg.taxonworks.org/api/v1/images/b17f01e01f4d5227a8de6ad906841d50										
5003323640				https://sfg.taxonworks.org/api/v1/images/a2a1dce9dc9d0bf15413edbd856848a6										
5003323639				https://sfg.taxonworks.org/api/v1/images/8734f4d29abe67b6c610eb82efb306bb										
5003323633				https://sfg.taxonworks.org/api/v1/images/11cd83609a2734ac24ae437927b88be7										
5003323631				https://sfg.taxonworks.org/api/v1/images/136f19eac5794166d2f2dcb075166489										
5003323630				https://sfg.taxonworks.org/api/v1/images/84b7f8976ae47b3d82f8f0a6e07769bc										
5003323629				https://sfg.taxonworks.org/api/v1/images/3eb2355b0ea5ebe4fd33fbabc4824f2e										
5003323623				https://sfg.taxonworks.org/api/v1/images/e11379143cb38bca15d4c0493d449fea										
5003323621				https://sfg.taxonworks.org/api/v1/images/27a98f8209913306e9070577f41448ac										
5003323616				https://sfg.taxonworks.org/api/v1/images/804f2fcbb6bc73e57bdd3596fda97413										
5003323613				https://sfg.taxonworks.org/api/v1/images/606ab21aa03b59f553420144c08c3aa7										
5003323611				https://sfg.taxonworks.org/api/v1/images/5e7a318217cc92d8846417a6dc27bf7f										
5003323610				https://sfg.taxonworks.org/api/v1/images/8b80515d11c92a75207f8547583849d1										
5003323607				https://sfg.taxonworks.org/api/v1/images/cf2e03a9eb9a2f5ffa10d879ce1b2ccf										
5003323606				https://sfg.taxonworks.org/api/v1/images/9ac725e6c03a0e8df180692719d04205										
5003323604				https://sfg.taxonworks.org/api/v1/images/33939e4759a451eb6ae2e19e91b674c7										
5003323602				https://sfg.taxonworks.org/api/v1/images/78a274126c6cec23d07192d56be2a87c										
5003323597				https://sfg.taxonworks.org/api/v1/images/52dc3523c50e0351c5ee494d260355f8										
5003323592				https://sfg.taxonworks.org/api/v1/images/e51bc6107c0a08dc50b6e41ed92b1f9f										
5003323592				https://sfg.taxonworks.org/api/v1/images/509ac3603e89184aea9c09fb50555d22										
5003323591				https://sfg.taxonworks.org/api/v1/images/e7a19943a7d0751582a458e6cdf92486										
5003323586				https://sfg.taxonworks.org/api/v1/images/9d9bcb4bc6d23be7f7607f34c222c029										
5003323584				https://sfg.taxonworks.org/api/v1/images/bdda8471973e82a28f99733ca139490b										
5003323583				https://sfg.taxonworks.org/api/v1/images/3a02d7edde624cec02cb2e7d94c3d756										
5003323582				https://sfg.taxonworks.org/api/v1/images/1b384be187c806c5d648af96f359adca										
5003323579				https://sfg.taxonworks.org/api/v1/images/d544d33d9d97fc6ddbe81dc4dd9c4884										
5003323577				https://sfg.taxonworks.org/api/v1/images/c99b278a697469d74078c690c2aa7098										
5003323575				https://sfg.taxonworks.org/api/v1/images/f78ee70cf99cf9f74c2c8026eafbce5c										
5003323573				https://sfg.taxonworks.org/api/v1/images/f0c9260be9547bd22b8c9e0f94e4f1f9										
5003323572				https://sfg.taxonworks.org/api/v1/images/4160ed1d28050038bfe4cb152c7a1707										
5003323570				https://sfg.taxonworks.org/api/v1/images/530e209299b2d412321af9e8b9717f4a										
5003323569				https://sfg.taxonworks.org/api/v1/images/9d23715a999ca4675c1ac110644a5f17										
5003323562				https://sfg.taxonworks.org/api/v1/images/4d0298ff796ae5b95e521552febbbb71										
5003323558				https://sfg.taxonworks.org/api/v1/images/c3a7fbdc3ea64c5a301e2d5d366d9f63										
5003323558				https://sfg.taxonworks.org/api/v1/images/3ae68464fcbe178f03ce8b2b7acc5eaa										
5003323557				https://sfg.taxonworks.org/api/v1/images/2d75e6d7c4dc7d80f569e75b609c6141										
5003323557				https://sfg.taxonworks.org/api/v1/images/bcc2d1fa4199989a970ec5d9f46752b4										
5003323556				https://sfg.taxonworks.org/api/v1/images/136f19eac5794166d2f2dcb075166489										
5003323553				https://sfg.taxonworks.org/api/v1/images/4129aad3d25b9a582842f3292cf70dce										
5003323552				https://sfg.taxonworks.org/api/v1/images/2d43ad8c6109a090494bc0b0951094e3										
5003323550				https://sfg.taxonworks.org/api/v1/images/a03646e4fcc0e46e4cbeb01adbb0288c										
5003323550				https://sfg.taxonworks.org/api/v1/images/992cb8f516e91a217ffe9a772429c3e1										
5003323548				https://sfg.taxonworks.org/api/v1/images/c16336b78d52ac65e97a3a2b56919b60										
5003323547				https://sfg.taxonworks.org/api/v1/images/8ba006327d1b7379e5266ed73923c949										
5003323546				https://sfg.taxonworks.org/api/v1/images/09276e48c95d472ce150f1f677f9b781										
5003323542				https://sfg.taxonworks.org/api/v1/images/407312810f81e0dd5d406e227f5a4038										
5003323539				https://sfg.taxonworks.org/api/v1/images/5c25ce9ae54b7c21f50ab7455408f35e										
5003323538				https://sfg.taxonworks.org/api/v1/images/2b77b0cb047379f1de1dc63510607e90										
